geometry
"POLYGON ((23.5 -28, 23.5 -28.5, 23 -28.5, 23 -28, 23.5 -28))"
"POLYGON ((24 -28, 24 -28.5, 23.5 -28.5, 23.5 -28, 24 -28))"
"POLYGON ((24.5 -28, 24.5 -28.5, 24 -28.5, 24 -28, 24.5 -28))"
"POLYGON ((25 -28, 25 -28.5, 24.5 -28.5, 24.5 -28, 25 -28))"
"POLYGON ((25.5 -28, 25.5 -28.5, 25 -28.5, 25 -28, 25.5 -28))"
"POLYGON ((26 -28, 26 -28.5, 25.5 -28.5, 25.5 -28, 26 -28))"
"POLYGON ((26.5 -28, 26.5 -28.5, 26 -28.5, 26 -28, 26.5 -28))"
"POLYGON ((27 -28, 27 -28.5, 26.5 -28.5, 26.5 -28, 27 -28))"
"POLYGON ((27.5 -28, 27.5 -28.5, 27 -28.5, 27 -28, 27.5 -28))"
"POLYGON ((28 -28, 28 -28.5, 27.5 -28.5, 27.5 -28, 28 -28))"
"POLYGON ((28.5 -28, 28.5 -28.5, 28 -28.5, 28 -28, 28.5 -28))"
"POLYGON ((29 -28, 29 -28.5, 28.5 -28.5, 28.5 -28, 29 -28))"
"POLYGON ((29.5 -28, 29.5 -28.5, 29 -28.5, 29 -28, 29.5 -28))"
"POLYGON ((30 -28, 30 -28.5, 29.5 -28.5, 29.5 -28, 30 -28))"
"POLYGON ((30.5 -28, 30.5 -28.5, 30 -28.5, 30 -28, 30.5 -28))"
"POLYGON ((31 -28, 31 -28.5, 30.5 -28.5, 30.5 -28, 31 -28))"
"POLYGON ((31.5 -28, 31.5 -28.5, 31 -28.5, 31 -28, 31.5 -28))"
"POLYGON ((32 -28, 32 -28.5, 31.5 -28.5, 31.5 -28, 32 -28))"
"POLYGON ((32.5 -28, 32.5 -28.5, 32 -28.5, 32 -28, 32.5 -28))"
"POLYGON ((16 -27.5, 16 -28, 15.5 -28, 15.5 -27.5, 16 -27.5))"
"POLYGON ((16.5 -27.5, 16.5 -28, 16 -28, 16 -27.5, 16.5 -27.5))"
"POLYGON ((17 -27.5, 17 -28, 16.5 -28, 16.5 -27.5, 17 -27.5))"
"POLYGON ((17.5 -27.5, 17.5 -28, 17 -28, 17 -27.5, 17.5 -27.5))"
"POLYGON ((18 -27.5, 18 -28, 17.5 -28, 17.5 -27.5, 18 -27.5))"
"POLYGON ((18.5 -27.5, 18.5 -28, 18 -28, 18 -27.5, 18.5 -27.5))"
"POLYGON ((19 -27.5, 19 -28, 18.5 -28, 18.5 -27.5, 19 -27.5))"
"POLYGON ((19.5 -27.5, 19.5 -28, 19 -28, 19 -27.5, 19.5 -27.5))"
"POLYGON ((20 -27.5, 20 -28, 19.5 -28, 19.5 -27.5, 20 -27.5))"
"POLYGON ((20.5 -27.5, 20.5 -28, 20 -28, 20 -27.5, 20.5 -27.5))"
"POLYGON ((21 -27.5, 21 -28, 20.5 -28, 20.5 -27.5, 21 -27.5))"
"POLYGON ((21.5 -27.5, 21.5 -28, 21 -28, 21 -27.5, 21.5 -27.5))"
"POLYGON ((22 -27.5, 22 -28, 21.5 -28, 21.5 -27.5, 22 -27.5))"
"POLYGON ((22.5 -27.5, 22.5 -28, 22 -28, 22 -27.5, 22.5 -27.5))"
"POLYGON ((23 -27.5, 23 -28, 22.5 -28, 22.5 -27.5, 23 -27.5))"
"POLYGON ((23.5 -27.5, 23.5 -28, 23 -28, 23 -27.5, 23.5 -27.5))"
"POLYGON ((24 -27.5, 24 -28, 23.5 -28, 23.5 -27.5, 24 -27.5))"
"POLYGON ((24.5 -27.5, 24.5 -28, 24 -28, 24 -27.5, 24.5 -27.5))"
"POLYGON ((25 -27.5, 25 -28, 24.5 -28, 24.5 -27.5, 25 -27.5))"
"POLYGON ((25.5 -27.5, 25.5 -28, 25 -28, 25 -27.5, 25.5 -27.5))"
"POLYGON ((26 -27.5, 26 -28, 25.5 -28, 25.5 -27.5, 26 -27.5))"
"POLYGON ((26.5 -27.5, 26.5 -28, 26 -28, 26 -27.5, 26.5 -27.5))"
"POLYGON ((27 -27.5, 27 -28, 26.5 -28, 26.5 -27.5, 27 -27.5))"
"POLYGON ((27.5 -27.5, 27.5 -28, 27 -28, 27 -27.5, 27.5 -27.5))"
"POLYGON ((28 -27.5, 28 -28, 27.5 -28, 27.5 -27.5, 28 -27.5))"
"POLYGON ((28.5 -27.5, 28.5 -28, 28 -28, 28 -27.5, 28.5 -27.5))"
"POLYGON ((29 -27.5, 29 -28, 28.5 -28, 28.5 -27.5, 29 -27.5))"
"POLYGON ((29.5 -27.5, 29.5 -28, 29 -28, 29 -27.5, 29.5 -27.5))"
"POLYGON ((30 -27.5, 30 -28, 29.5 -28, 29.5 -27.5, 30 -27.5))"
"POLYGON ((30.5 -27.5, 30.5 -28, 30 -28, 30 -27.5, 30.5 -27.5))"
"POLYGON ((31 -27.5, 31 -28, 30.5 -28, 30.5 -27.5, 31 -27.5))"
"POLYGON ((31.5 -27.5, 31.5 -28, 31 -28, 31 -27.5, 31.5 -27.5))"
"POLYGON ((32 -27.5, 32 -28, 31.5 -28, 31.5 -27.5, 32 -27.5))"
"POLYGON ((32.5 -27.5, 32.5 -28, 32 -28, 32 -27.5, 32.5 -27.5))"
"POLYGON ((16 -27, 16 -27.5, 15.5 -27.5, 15.5 -27, 16 -27))"
"POLYGON ((16.5 -27, 16.5 -27.5, 16 -27.5, 16 -27, 16.5 -27))"
"POLYGON ((17 -27, 17 -27.5, 16.5 -27.5, 16.5 -27, 17 -27))"
"POLYGON ((17.5 -27, 17.5 -27.5, 17 -27.5, 17 -27, 17.5 -27))"
"POLYGON ((18 -27, 18 -27.5, 17.5 -27.5, 17.5 -27, 18 -27))"
"POLYGON ((18.5 -27, 18.5 -27.5, 18 -27.5, 18 -27, 18.5 -27))"
"POLYGON ((19 -27, 19 -27.5, 18.5 -27.5, 18.5 -27, 19 -27))"
"POLYGON ((19.5 -27, 19.5 -27.5, 19 -27.5, 19 -27, 19.5 -27))"
"POLYGON ((20 -27, 20 -27.5, 19.5 -27.5, 19.5 -27, 20 -27))"
"POLYGON ((20.5 -27, 20.5 -27.5, 20 -27.5, 20 -27, 20.5 -27))"
"POLYGON ((21 -27, 21 -27.5, 20.5 -27.5, 20.5 -27, 21 -27))"
"POLYGON ((21.5 -27, 21.5 -27.5, 21 -27.5, 21 -27, 21.5 -27))"
"POLYGON ((22 -27, 22 -27.5, 21.5 -27.5, 21.5 -27, 22 -27))"
"POLYGON ((22.5 -27, 22.5 -27.5, 22 -27.5, 22 -27, 22.5 -27))"
"POLYGON ((23 -27, 23 -27.5, 22.5 -27.5, 22.5 -27, 23 -27))"
"POLYGON ((23.5 -27, 23.5 -27.5, 23 -27.5, 23 -27, 23.5 -27))"
"POLYGON ((24 -27, 24 -27.5, 23.5 -27.5, 23.5 -27, 24 -27))"
"POLYGON ((24.5 -27, 24.5 -27.5, 24 -27.5, 24 -27, 24.5 -27))"
"POLYGON ((25 -27, 25 -27.5, 24.5 -27.5, 24.5 -27, 25 -27))"
"POLYGON ((25.5 -27, 25.5 -27.5, 25 -27.5, 25 -27, 25.5 -27))"
"POLYGON ((26 -27, 26 -27.5, 25.5 -27.5, 25.5 -27, 26 -27))"
"POLYGON ((26.5 -27, 26.5 -27.5, 26 -27.5, 26 -27, 26.5 -27))"
"POLYGON ((27 -27, 27 -27.5, 26.5 -27.5, 26.5 -27, 27 -27))"
"POLYGON ((27.5 -27, 27.5 -27.5, 27 -27.5, 27 -27, 27.5 -27))"
"POLYGON ((28 -27, 28 -27.5, 27.5 -27.5, 27.5 -27, 28 -27))"
"POLYGON ((28.5 -27, 28.5 -27.5, 28 -27.5, 28 -27, 28.5 -27))"
"POLYGON ((29 -27, 29 -27.5, 28.5 -27.5, 28.5 -27, 29 -27))"
"POLYGON ((29.5 -27, 29.5 -27.5, 29 -27.5, 29 -27, 29.5 -27))"
"POLYGON ((30 -27, 30 -27.5, 29.5 -27.5, 29.5 -27, 30 -27))"
"POLYGON ((30.5 -27, 30.5 -27.5, 30 -27.5, 30 -27, 30.5 -27))"
"POLYGON ((31 -27, 31 -27.5, 30.5 -27.5, 30.5 -27, 31 -27))"
"POLYGON ((31.5 -27, 31.5 -27.5, 31 -27.5, 31 -27, 31.5 -27))"
"POLYGON ((32 -27, 32 -27.5, 31.5 -27.5, 31.5 -27, 32 -27))"
"POLYGON ((32.5 -27, 32.5 -27.5, 32 -27.5, 32 -27, 32.5 -27))"
"POLYGON ((33 -27, 33 -27.5, 32.5 -27.5, 32.5 -27, 33 -27))"
"POLYGON ((15.5 -26.5, 15.5 -27, 15 -27, 15 -26.5, 15.5 -26.5))"
"POLYGON ((16 -26.5, 16 -27, 15.5 -27, 15.5 -26.5, 16 -26.5))"
"POLYGON ((16.5 -26.5, 16.5 -27, 16 -27, 16 -26.5, 16.5 -26.5))"
"POLYGON ((17 -26.5, 17 -27, 16.5 -27, 16.5 -26.5, 17 -26.5))"
"POLYGON ((17.5 -26.5, 17.5 -27, 17 -27, 17 -26.5, 17.5 -26.5))"
"POLYGON ((18 -26.5, 18 -27, 17.5 -27, 17.5 -26.5, 18 -26.5))"
"POLYGON ((18.5 -26.5, 18.5 -27, 18 -27, 18 -26.5, 18.5 -26.5))"
"POLYGON ((19 -26.5, 19 -27, 18.5 -27, 18.5 -26.5, 19 -26.5))"
"POLYGON ((19.5 -26.5, 19.5 -27, 19 -27, 19 -26.5, 19.5 -26.5))"
"POLYGON ((20 -26.5, 20 -27, 19.5 -27, 19.5 -26.5, 20 -26.5))"
"POLYGON ((20.5 -26.5, 20.5 -27, 20 -27, 20 -26.5, 20.5 -26.5))"
"POLYGON ((21 -26.5, 21 -27, 20.5 -27, 20.5 -26.5, 21 -26.5))"
"POLYGON ((21.5 -26.5, 21.5 -27, 21 -27, 21 -26.5, 21.5 -26.5))"
"POLYGON ((22 -26.5, 22 -27, 21.5 -27, 21.5 -26.5, 22 -26.5))"
"POLYGON ((22.5 -26.5, 22.5 -27, 22 -27, 22 -26.5, 22.5 -26.5))"
"POLYGON ((23 -26.5, 23 -27, 22.5 -27, 22.5 -26.5, 23 -26.5))"
"POLYGON ((23.5 -26.5, 23.5 -27, 23 -27, 23 -26.5, 23.5 -26.5))"
"POLYGON ((24 -26.5, 24 -27, 23.5 -27, 23.5 -26.5, 24 -26.5))"
"POLYGON ((24.5 -26.5, 24.5 -27, 24 -27, 24 -26.5, 24.5 -26.5))"
"POLYGON ((25 -26.5, 25 -27, 24.5 -27, 24.5 -26.5, 25 -26.5))"
"POLYGON ((25.5 -26.5, 25.5 -27, 25 -27, 25 -26.5, 25.5 -26.5))"
"POLYGON ((26 -26.5, 26 -27, 25.5 -27, 25.5 -26.5, 26 -26.5))"
"POLYGON ((26.5 -26.5, 26.5 -27, 26 -27, 26 -26.5, 26.5 -26.5))"
"POLYGON ((27 -26.5, 27 -27, 26.5 -27, 26.5 -26.5, 27 -26.5))"
"POLYGON ((27.5 -26.5, 27.5 -27, 27 -27, 27 -26.5, 27.5 -26.5))"
"POLYGON ((28 -26.5, 28 -27, 27.5 -27, 27.5 -26.5, 28 -26.5))"
"POLYGON ((28.5 -26.5, 28.5 -27, 28 -27, 28 -26.5, 28.5 -26.5))"
"POLYGON ((29 -26.5, 29 -27, 28.5 -27, 28.5 -26.5, 29 -26.5))"
"POLYGON ((29.5 -26.5, 29.5 -27, 29 -27, 29 -26.5, 29.5 -26.5))"
"POLYGON ((30 -26.5, 30 -27, 29.5 -27, 29.5 -26.5, 30 -26.5))"
"POLYGON ((30.5 -26.5, 30.5 -27, 30 -27, 30 -26.5, 30.5 -26.5))"
"POLYGON ((31 -26.5, 31 -27, 30.5 -27, 30.5 -26.5, 31 -26.5))"
"POLYGON ((31.5 -26.5, 31.5 -27, 31 -27, 31 -26.5, 31.5 -26.5))"
"POLYGON ((32 -26.5, 32 -27, 31.5 -27, 31.5 -26.5, 32 -26.5))"
"POLYGON ((32.5 -26.5, 32.5 -27, 32 -27, 32 -26.5, 32.5 -26.5))"
"POLYGON ((33 -26.5, 33 -27, 32.5 -27, 32.5 -26.5, 33 -26.5))"
"POLYGON ((15.5 -26, 15.5 -26.5, 15 -26.5, 15 -26, 15.5 -26))"
"POLYGON ((16 -26, 16 -26.5, 15.5 -26.5, 15.5 -26, 16 -26))"
"POLYGON ((16.5 -26, 16.5 -26.5, 16 -26.5, 16 -26, 16.5 -26))"
"POLYGON ((17 -26, 17 -26.5, 16.5 -26.5, 16.5 -26, 17 -26))"
"POLYGON ((17.5 -26, 17.5 -26.5, 17 -26.5, 17 -26, 17.5 -26))"
"POLYGON ((18 -26, 18 -26.5, 17.5 -26.5, 17.5 -26, 18 -26))"
"POLYGON ((18.5 -26, 18.5 -26.5, 18 -26.5, 18 -26, 18.5 -26))"
"POLYGON ((19 -26, 19 -26.5, 18.5 -26.5, 18.5 -26, 19 -26))"
"POLYGON ((19.5 -26, 19.5 -26.5, 19 -26.5, 19 -26, 19.5 -26))"
"POLYGON ((20 -26, 20 -26.5, 19.5 -26.5, 19.5 -26, 20 -26))"
"POLYGON ((20.5 -26, 20.5 -26.5, 20 -26.5, 20 -26, 20.5 -26))"
"POLYGON ((21 -26, 21 -26.5, 20.5 -26.5, 20.5 -26, 21 -26))"
"POLYGON ((21.5 -26, 21.5 -26.5, 21 -26.5, 21 -26, 21.5 -26))"
"POLYGON ((22 -26, 22 -26.5, 21.5 -26.5, 21.5 -26, 22 -26))"
"POLYGON ((22.5 -26, 22.5 -26.5, 22 -26.5, 22 -26, 22.5 -26))"
"POLYGON ((23 -26, 23 -26.5, 22.5 -26.5, 22.5 -26, 23 -26))"
"POLYGON ((23.5 -26, 23.5 -26.5, 23 -26.5, 23 -26, 23.5 -26))"
"POLYGON ((24 -26, 24 -26.5, 23.5 -26.5, 23.5 -26, 24 -26))"
"POLYGON ((24.5 -26, 24.5 -26.5, 24 -26.5, 24 -26, 24.5 -26))"
"POLYGON ((25 -26, 25 -26.5, 24.5 -26.5, 24.5 -26, 25 -26))"
"POLYGON ((25.5 -26, 25.5 -26.5, 25 -26.5, 25 -26, 25.5 -26))"
"POLYGON ((26 -26, 26 -26.5, 25.5 -26.5, 25.5 -26, 26 -26))"
"POLYGON ((26.5 -26, 26.5 -26.5, 26 -26.5, 26 -26, 26.5 -26))"
"POLYGON ((27 -26, 27 -26.5, 26.5 -26.5, 26.5 -26, 27 -26))"
"POLYGON ((27.5 -26, 27.5 -26.5, 27 -26.5, 27 -26, 27.5 -26))"
"POLYGON ((28 -26, 28 -26.5, 27.5 -26.5, 27.5 -26, 28 -26))"
"POLYGON ((28.5 -26, 28.5 -26.5, 28 -26.5, 28 -26, 28.5 -26))"
"POLYGON ((29 -26, 29 -26.5, 28.5 -26.5, 28.5 -26, 29 -26))"
"POLYGON ((29.5 -26, 29.5 -26.5, 29 -26.5, 29 -26, 29.5 -26))"
"POLYGON ((30 -26, 30 -26.5, 29.5 -26.5, 29.5 -26, 30 -26))"
"POLYGON ((30.5 -26, 30.5 -26.5, 30 -26.5, 30 -26, 30.5 -26))"
"POLYGON ((31 -26, 31 -26.5, 30.5 -26.5, 30.5 -26, 31 -26))"
"POLYGON ((31.5 -26, 31.5 -26.5, 31 -26.5, 31 -26, 31.5 -26))"
"POLYGON ((32 -26, 32 -26.5, 31.5 -26.5, 31.5 -26, 32 -26))"
"POLYGON ((32.5 -26, 32.5 -26.5, 32 -26.5, 32 -26, 32.5 -26))"
"POLYGON ((33 -26, 33 -26.5, 32.5 -26.5, 32.5 -26, 33 -26))"
"POLYGON ((15.5 -25.5, 15.5 -26, 15 -26, 15 -25.5, 15.5 -25.5))"
"POLYGON ((16 -25.5, 16 -26, 15.5 -26, 15.5 -25.5, 16 -25.5))"
"POLYGON ((16.5 -25.5, 16.5 -26, 16 -26, 16 -25.5, 16.5 -25.5))"
"POLYGON ((17 -25.5, 17 -26, 16.5 -26, 16.5 -25.5, 17 -25.5))"
"POLYGON ((17.5 -25.5, 17.5 -26, 17 -26, 17 -25.5, 17.5 -25.5))"
"POLYGON ((18 -25.5, 18 -26, 17.5 -26, 17.5 -25.5, 18 -25.5))"
"POLYGON ((18.5 -25.5, 18.5 -26, 18 -26, 18 -25.5, 18.5 -25.5))"
"POLYGON ((19 -25.5, 19 -26, 18.5 -26, 18.5 -25.5, 19 -25.5))"
"POLYGON ((19.5 -25.5, 19.5 -26, 19 -26, 19 -25.5, 19.5 -25.5))"
"POLYGON ((20 -25.5, 20 -26, 19.5 -26, 19.5 -25.5, 20 -25.5))"
"POLYGON ((20.5 -25.5, 20.5 -26, 20 -26, 20 -25.5, 20.5 -25.5))"
"POLYGON ((21 -25.5, 21 -26, 20.5 -26, 20.5 -25.5, 21 -25.5))"
"POLYGON ((21.5 -25.5, 21.5 -26, 21 -26, 21 -25.5, 21.5 -25.5))"
"POLYGON ((22 -25.5, 22 -26, 21.5 -26, 21.5 -25.5, 22 -25.5))"
"POLYGON ((22.5 -25.5, 22.5 -26, 22 -26, 22 -25.5, 22.5 -25.5))"
"POLYGON ((23 -25.5, 23 -26, 22.5 -26, 22.5 -25.5, 23 -25.5))"
"POLYGON ((23.5 -25.5, 23.5 -26, 23 -26, 23 -25.5, 23.5 -25.5))"
"POLYGON ((24 -25.5, 24 -26, 23.5 -26, 23.5 -25.5, 24 -25.5))"
"POLYGON ((24.5 -25.5, 24.5 -26, 24 -26, 24 -25.5, 24.5 -25.5))"
"POLYGON ((25 -25.5, 25 -26, 24.5 -26, 24.5 -25.5, 25 -25.5))"
"POLYGON ((25.5 -25.5, 25.5 -26, 25 -26, 25 -25.5, 25.5 -25.5))"
"POLYGON ((26 -25.5, 26 -26, 25.5 -26, 25.5 -25.5, 26 -25.5))"
"POLYGON ((26.5 -25.5, 26.5 -26, 26 -26, 26 -25.5, 26.5 -25.5))"
"POLYGON ((27 -25.5, 27 -26, 26.5 -26, 26.5 -25.5, 27 -25.5))"
"POLYGON ((27.5 -25.5, 27.5 -26, 27 -26, 27 -25.5, 27.5 -25.5))"
"POLYGON ((28 -25.5, 28 -26, 27.5 -26, 27.5 -25.5, 28 -25.5))"
"POLYGON ((28.5 -25.5, 28.5 -26, 28 -26, 28 -25.5, 28.5 -25.5))"
"POLYGON ((29 -25.5, 29 -26, 28.5 -26, 28.5 -25.5, 29 -25.5))"
"POLYGON ((29.5 -25.5, 29.5 -26, 29 -26, 29 -25.5, 29.5 -25.5))"
"POLYGON ((30 -25.5, 30 -26, 29.5 -26, 29.5 -25.5, 30 -25.5))"
"POLYGON ((30.5 -25.5, 30.5 -26, 30 -26, 30 -25.5, 30.5 -25.5))"
"POLYGON ((31 -25.5, 31 -26, 30.5 -26, 30.5 -25.5, 31 -25.5))"
"POLYGON ((31.5 -25.5, 31.5 -26, 31 -26, 31 -25.5, 31.5 -25.5))"
"POLYGON ((32 -25.5, 32 -26, 31.5 -26, 31.5 -25.5, 32 -25.5))"
"POLYGON ((32.5 -25.5, 32.5 -26, 32 -26, 32 -25.5, 32.5 -25.5))"
"POLYGON ((15.5 -25, 15.5 -25.5, 15 -25.5, 15 -25, 15.5 -25))"
"POLYGON ((16 -25, 16 -25.5, 15.5 -25.5, 15.5 -25, 16 -25))"
"POLYGON ((16.5 -25, 16.5 -25.5, 16 -25.5, 16 -25, 16.5 -25))"
"POLYGON ((17 -25, 17 -25.5, 16.5 -25.5, 16.5 -25, 17 -25))"
"POLYGON ((17.5 -25, 17.5 -25.5, 17 -25.5, 17 -25, 17.5 -25))"
"POLYGON ((18 -25, 18 -25.5, 17.5 -25.5, 17.5 -25, 18 -25))"
"POLYGON ((18.5 -25, 18.5 -25.5, 18 -25.5, 18 -25, 18.5 -25))"
"POLYGON ((19 -25, 19 -25.5, 18.5 -25.5, 18.5 -25, 19 -25))"
"POLYGON ((19.5 -25, 19.5 -25.5, 19 -25.5, 19 -25, 19.5 -25))"
"POLYGON ((20 -25, 20 -25.5, 19.5 -25.5, 19.5 -25, 20 -25))"
"POLYGON ((20.5 -25, 20.5 -25.5, 20 -25.5, 20 -25, 20.5 -25))"
"POLYGON ((21 -25, 21 -25.5, 20.5 -25.5, 20.5 -25, 21 -25))"
"POLYGON ((21.5 -25, 21.5 -25.5, 21 -25.5, 21 -25, 21.5 -25))"
"POLYGON ((22 -25, 22 -25.5, 21.5 -25.5, 21.5 -25, 22 -25))"
"POLYGON ((22.5 -25, 22.5 -25.5, 22 -25.5, 22 -25, 22.5 -25))"
"POLYGON ((23 -25, 23 -25.5, 22.5 -25.5, 22.5 -25, 23 -25))"
"POLYGON ((23.5 -25, 23.5 -25.5, 23 -25.5, 23 -25, 23.5 -25))"
"POLYGON ((24 -25, 24 -25.5, 23.5 -25.5, 23.5 -25, 24 -25))"
"POLYGON ((24.5 -25, 24.5 -25.5, 24 -25.5, 24 -25, 24.5 -25))"
"POLYGON ((25 -25, 25 -25.5, 24.5 -25.5, 24.5 -25, 25 -25))"
"POLYGON ((25.5 -25, 25.5 -25.5, 25 -25.5, 25 -25, 25.5 -25))"
"POLYGON ((26 -25, 26 -25.5, 25.5 -25.5, 25.5 -25, 26 -25))"
"POLYGON ((26.5 -25, 26.5 -25.5, 26 -25.5, 26 -25, 26.5 -25))"
"POLYGON ((27 -25, 27 -25.5, 26.5 -25.5, 26.5 -25, 27 -25))"
"POLYGON ((27.5 -25, 27.5 -25.5, 27 -25.5, 27 -25, 27.5 -25))"
"POLYGON ((28 -25, 28 -25.5, 27.5 -25.5, 27.5 -25, 28 -25))"
"POLYGON ((28.5 -25, 28.5 -25.5, 28 -25.5, 28 -25, 28.5 -25))"
"POLYGON ((29 -25, 29 -25.5, 28.5 -25.5, 28.5 -25, 29 -25))"
"POLYGON ((29.5 -25, 29.5 -25.5, 29 -25.5, 29 -25, 29.5 -25))"
"POLYGON ((30 -25, 30 -25.5, 29.5 -25.5, 29.5 -25, 30 -25))"
"POLYGON ((30.5 -25, 30.5 -25.5, 30 -25.5, 30 -25, 30.5 -25))"
"POLYGON ((31 -25, 31 -25.5, 30.5 -25.5, 30.5 -25, 31 -25))"
"POLYGON ((31.5 -25, 31.5 -25.5, 31 -25.5, 31 -25, 31.5 -25))"
"POLYGON ((32 -25, 32 -25.5, 31.5 -25.5, 31.5 -25, 32 -25))"
"POLYGON ((32.5 -25, 32.5 -25.5, 32 -25.5, 32 -25, 32.5 -25))"
"POLYGON ((33 -25, 33 -25.5, 32.5 -25.5, 32.5 -25, 33 -25))"
"POLYGON ((33.5 -25, 33.5 -25.5, 33 -25.5, 33 -25, 33.5 -25))"
"POLYGON ((45 -25, 45 -25.5, 44.5 -25.5, 44.5 -25, 45 -25))"
"POLYGON ((45.5 -25, 45.5 -25.5, 45 -25.5, 45 -25, 45.5 -25))"
"POLYGON ((46 -25, 46 -25.5, 45.5 -25.5, 45.5 -25, 46 -25))"
"POLYGON ((15 -24.5, 15 -25, 14.5 -25, 14.5 -24.5, 15 -24.5))"
"POLYGON ((15.5 -24.5, 15.5 -25, 15 -25, 15 -24.5, 15.5 -24.5))"
"POLYGON ((16 -24.5, 16 -25, 15.5 -25, 15.5 -24.5, 16 -24.5))"
"POLYGON ((16.5 -24.5, 16.5 -25, 16 -25, 16 -24.5, 16.5 -24.5))"
"POLYGON ((17 -24.5, 17 -25, 16.5 -25, 16.5 -24.5, 17 -24.5))"
"POLYGON ((17.5 -24.5, 17.5 -25, 17 -25, 17 -24.5, 17.5 -24.5))"
"POLYGON ((18 -24.5, 18 -25, 17.5 -25, 17.5 -24.5, 18 -24.5))"
"POLYGON ((18.5 -24.5, 18.5 -25, 18 -25, 18 -24.5, 18.5 -24.5))"
"POLYGON ((19 -24.5, 19 -25, 18.5 -25, 18.5 -24.5, 19 -24.5))"
"POLYGON ((19.5 -24.5, 19.5 -25, 19 -25, 19 -24.5, 19.5 -24.5))"
"POLYGON ((20 -24.5, 20 -25, 19.5 -25, 19.5 -24.5, 20 -24.5))"
"POLYGON ((20.5 -24.5, 20.5 -25, 20 -25, 20 -24.5, 20.5 -24.5))"
"POLYGON ((21 -24.5, 21 -25, 20.5 -25, 20.5 -24.5, 21 -24.5))"
"POLYGON ((21.5 -24.5, 21.5 -25, 21 -25, 21 -24.5, 21.5 -24.5))"
"POLYGON ((22 -24.5, 22 -25, 21.5 -25, 21.5 -24.5, 22 -24.5))"
"POLYGON ((22.5 -24.5, 22.5 -25, 22 -25, 22 -24.5, 22.5 -24.5))"
"POLYGON ((23 -24.5, 23 -25, 22.5 -25, 22.5 -24.5, 23 -24.5))"
"POLYGON ((23.5 -24.5, 23.5 -25, 23 -25, 23 -24.5, 23.5 -24.5))"
"POLYGON ((24 -24.5, 24 -25, 23.5 -25, 23.5 -24.5, 24 -24.5))"
"POLYGON ((24.5 -24.5, 24.5 -25, 24 -25, 24 -24.5, 24.5 -24.5))"
"POLYGON ((25 -24.5, 25 -25, 24.5 -25, 24.5 -24.5, 25 -24.5))"
"POLYGON ((25.5 -24.5, 25.5 -25, 25 -25, 25 -24.5, 25.5 -24.5))"
"POLYGON ((26 -24.5, 26 -25, 25.5 -25, 25.5 -24.5, 26 -24.5))"
"POLYGON ((26.5 -24.5, 26.5 -25, 26 -25, 26 -24.5, 26.5 -24.5))"
"POLYGON ((27 -24.5, 27 -25, 26.5 -25, 26.5 -24.5, 27 -24.5))"
"POLYGON ((27.5 -24.5, 27.5 -25, 27 -25, 27 -24.5, 27.5 -24.5))"
"POLYGON ((28 -24.5, 28 -25, 27.5 -25, 27.5 -24.5, 28 -24.5))"
"POLYGON ((28.5 -24.5, 28.5 -25, 28 -25, 28 -24.5, 28.5 -24.5))"
"POLYGON ((29 -24.5, 29 -25, 28.5 -25, 28.5 -24.5, 29 -24.5))"
"POLYGON ((29.5 -24.5, 29.5 -25, 29 -25, 29 -24.5, 29.5 -24.5))"
"POLYGON ((30 -24.5, 30 -25, 29.5 -25, 29.5 -24.5, 30 -24.5))"
"POLYGON ((30.5 -24.5, 30.5 -25, 30 -25, 30 -24.5, 30.5 -24.5))"
"POLYGON ((31 -24.5, 31 -25, 30.5 -25, 30.5 -24.5, 31 -24.5))"
"POLYGON ((31.5 -24.5, 31.5 -25, 31 -25, 31 -24.5, 31.5 -24.5))"
"POLYGON ((32 -24.5, 32 -25, 31.5 -25, 31.5 -24.5, 32 -24.5))"
"POLYGON ((32.5 -24.5, 32.5 -25, 32 -25, 32 -24.5, 32.5 -24.5))"
"POLYGON ((33 -24.5, 33 -25, 32.5 -25, 32.5 -24.5, 33 -24.5))"
"POLYGON ((33.5 -24.5, 33.5 -25, 33 -25, 33 -24.5, 33.5 -24.5))"
"POLYGON ((34 -24.5, 34 -25, 33.5 -25, 33.5 -24.5, 34 -24.5))"
"POLYGON ((34.5 -24.5, 34.5 -25, 34 -25, 34 -24.5, 34.5 -24.5))"
"POLYGON ((35 -24.5, 35 -25, 34.5 -25, 34.5 -24.5, 35 -24.5))"
"POLYGON ((44.5 -24.5, 44.5 -25, 44 -25, 44 -24.5, 44.5 -24.5))"
"POLYGON ((45 -24.5, 45 -25, 44.5 -25, 44.5 -24.5, 45 -24.5))"
"POLYGON ((45.5 -24.5, 45.5 -25, 45 -25, 45 -24.5, 45.5 -24.5))"
"POLYGON ((46 -24.5, 46 -25, 45.5 -25, 45.5 -24.5, 46 -24.5))"
"POLYGON ((46.5 -24.5, 46.5 -25, 46 -25, 46 -24.5, 46.5 -24.5))"
"POLYGON ((47 -24.5, 47 -25, 46.5 -25, 46.5 -24.5, 47 -24.5))"
"POLYGON ((15 -24, 15 -24.5, 14.5 -24.5, 14.5 -24, 15 -24))"
"POLYGON ((15.5 -24, 15.5 -24.5, 15 -24.5, 15 -24, 15.5 -24))"
"POLYGON ((16 -24, 16 -24.5, 15.5 -24.5, 15.5 -24, 16 -24))"
